Family ID,Individual ID
89,I1907.AG
127,I1908.AG
128,I1909.AG
149,I2509.AG
153,I2519.AG
219,I2783.AG
222,I2788.AG
223,I2789.AG
224,I2790.AG
225,I2791.AG
226,I2793.AG
249,I3005.AG
255,I3035.AG
264,I3068.AG
432,I4088.AG
433,I4089.AG
454,I4189.AG
514,I5359.AG
517,I5366.AG
678,I0406.AG
679,I0408.AG
734,I10045.AG
735,I10046.AG
736,I10047.AG
737,I10048.AG
738,I10049.AG
739,I10050.AG
741,I10053.AG
742,I10054.AG
744,I10056.AG
745,I10057.AG
747,I10061.AG
748,I10062.AG
749,I10063.AG
750,I10064.AG
751,I10065.AG
753,I10068.AG
754,I10069.AG
756,I10070.AG
757,I10071.AG
758,I10072.AG
791,I10271.AG
793,I10273.AG
807,I10293.AG
808,I10294.AG
810,I10297.AG
811,I10299.AG
812,I10303.AG
874,I1160.AG
875,I1166.AG
876,I1169.AG
900,I1565.AG
907,I1593.AG
1029,I2318.AG
1033,I2337.AG
1072,I2423.AG
1073,I2424.AG
1077,I2427.AG
1078,I2430.AG
1214,I3709.AG
1239,I3920.AG
1405,I4893.AG
1406,I4894.AG
1680,I6677.AG
1699,I6746.AG
1700,I6747.AG
1702,I6750.AG
1703,I6751.AG
1706,I6755.AG
1707,I6757.AG
1708,I6759.AG
1709,I6760.AG
1710,I6761.AG
1711,I6762.AG
1784,I7042.AG
1798,I7127.AG
1799,I7128.AG
1800,I7129.AG
1801,I7130.AG
1802,I7131.AG
1803,I7132.AG
1804,I7133.AG
1805,I7134.AG
1806,I7135.AG
1807,I7136.AG
1808,I7137.AG
1821,I7186.AG
1822,I7187.AG
1823,I7188.AG
1824,I7189.AG
1825,I7191.AG
1826,I7192.AG
1827,I7193.AG
1828,I7194.AG
1831,I7197.AG
1920,I7550.AG
2263,I0407.AG
2298,I0644.AG
2399,I1152.AG
2402,I1165.AG
2403,I1168.AG
2404,I1170.AG
2408,I1178.AG
2409,I1179.AG
2412,I1182.AG
2449,I1407.AG
2454,I1495.AG
2479,I1631.AG
2480,I1632.AG
2482,I1634.AG
2493,I1665.AG
2496,I1674.AG
3189,BRZ002.AG
3202,HOL001.AG
3235,KOB002.AG
3262,NER001.AG
3313,TUC007.AG
3314,VLI004.AG
3368,SB379D2_lib.AG.SG
3374,SB573A_lib.AG.SG
3376,SB603A_lib.AG.SG
3384,I6746.AG.SG
3385,I6747.AG.SG
3386,I6750.AG.SG
3387,I6751.AG.SG
3389,I6755.AG.SG
3390,I6757.AG.SG
3391,I6759.AG.SG
3392,I6760.AG.SG
3393,I6761.AG.SG
3394,I6762.AG.SG
3500,ASH1.SG
3501,ASH3.SG
3502,BG72.SG
3509,CH448.SG
3512,JP14.SG
3521,PB357.SG
3522,PB443.SG
3527,PB768.SG
3528,PN02.SG
3529,PN03.SG
3530,PN04.SG
3531,PN05.SG
3532,PN06.SG
3534,PN107.SG
3535,PN10_PN113.SG
3536,PN112.SG
3540,SRA62.SG
3916,N18.SG
3917,N19.SG
3918,N20.SG
3919,N22.SG
3920,N25.SG
3921,N26.SG
3922,N27.SG
3923,N28.SG
3924,N31.SG
3925,N36.SG
4077,TU877_SX11.AG
4090,TU875_SX9.AG
4099,VERT015.SG
4100,VERT030.SG
4101,VERT035.SG
4102,VERT100B.SG
4104,VERT104B.SG
4263,Syltholm1.SG
5076,LON003.AG
5081,MA79.AG
5124,SUC008.AG
5838,DolmenAnsiao96B.SG
5839,LugarCanto41.SG
5840,LugarCanto42.SG
5841,LugarCanto44.SG
6246,FLR001.AG
6247,FLR002.AG
6248,FLR003.AG
6250,FLR005.AG
6251,FLR007.AG
6255,GRG003.AG
6256,GRG008.AG
6257,GRG015.AG
6258,GRG016.AG
6260,GRG019.AG
6261,GRG021.AG
6262,GRG022.AG
6264,GRG025.AG
6267,GRG032.AG
6268,GRG035.AG
6269,GRG041.AG
6270,GRG043.AG
6271,GRG047.AG
6273,GRG050.AG
6274,GRG052.AG
6275,GRG056.AG
6295,OBN007.AG
6297,OBN009.AG
6303,PRI001.AG
6494,prs002.SG
6499,prs016.SG
6514,TRPTN_613.SG
6701,ART005.AG
6720,ART042.AG
6724,CBT004.AG
6726,CBT010.AG
6727,CBT011.AG
6728,CBT013.AG
6729,CBT014.AG
6730,CBT015.AG
6731,CBT016.AG
6732,CBT017.AG
7094,ELT002_merged.AG
7095,ELT006_merged.AG
7100,AY2003.AG
7125,OSS001.AG
7128,PG2004.AG
7143,VJ1001.AG
7532,Klei10.SG
7533,Pal7.SG
7570,NE7.SG
7709,I10542.AG
7711,I10545.AG
7713,I10547.AG
7980,I12440.AG
8269,I13838.AG
8271,I13840.AG
8294,I13888.AG
8295,I13889.AG
8296,I13892.AG
8342,I14157.AG
8343,I14159.AG
8344,I14160.AG
8345,I14161.AG
8346,I14162.AG
8347,I14163.AG
8348,I14164.AG
8349,I14165.AG
8350,I14166.AG
8351,I14167.AG
8352,I14168.AG
8353,I14169.AG
8354,I14170.AG
8355,I14171.AG
8356,I14172.AG
8357,I14173.AG
8358,I14174.AG
8359,I14175.AG
8360,I14176.AG
8372,I14190.AG
8602,I15029.AG
8603,I15030.AG
8604,I15031.AG
8605,I15032.AG
8756,I15617.AG
8757,I15618.AG
8758,I15619.AG
8759,I15621.AG
8760,I15622.AG
8761,I15623.AG
8800,I15823.AG
8812,I15946.AG
8871,I16121.AG
8872,I16122.AG
8875,I16165.AG
8877,I16168.AG
8953,I16444.AG
8961,I16463.AG
9163,I17914.AG
9164,I17915.AG
9602,I20502.AG
9711,I20806.AG
9712,I20809.AG
9713,I20810.AG
9757,I21390.AG
10144,I30300.TW
10148,I30421.TW
10198,I8134.AG
10229,I11902.AG
10230,I11906.AG
10245,I12439.AG
10295,I13893.AG
10296,I13896.AG
10302,I14158.AG
10320,I15616.AG
10321,I15620.AG
10325,I1584_enhanced.AG
10364,I18114.AG
10365,I18115.AG
10366,I18116.AG
10410,I20818.TW
10427,I2500.AG
10437,I30293.TW
10438,I30299.TW
10439,I30301.TW
10440,I30302.TW
10444,I30334.TW
10471,I5395.AG
12059,POP02.SG
12060,POP04.SG
12061,POP05.SG
12062,POP06.SG
12064,POP08.SG
12065,POP09.SG
12066,POP12.SG
12067,POP13.SG
12069,POP16.SG
12070,POP19.SG
12072,POP24.SG
12073,POP27.SG
12075,POP36.SG
12152,VERT107.SG
12153,VERT028.SG
12154,VERT029.SG
12155,VERT031.SG
12400,skh001.SG
14912,I13890.AG
14915,I13891.AG
14918,I13897.AG
14921,I13898.AG
14924,I13899.AG
14927,I20821.AG
14930,I13895.AG
14934,I12437.AG
14936,I21385.AG
14941,I21388.AG.TW
14944,I21389.AG.TW
14950,I21393.AG.TW
15155,NEO160.SG
15199,NEO166.SG
15225,NEO174.SG
15411,poz120.SG
15413,poz177.SG
15415,poz236.SG
15418,poz275.SG
15438,ukr104.SG
15466,GLN202.AG
15510,GLN253.AG
15533,GLN284.AG
16760,KTL002.AG
16761,KTL003.AG
16762,KTL004.AG
16763,KTL005.AG
16764,KTL006.AG
16767,MAJ002.AG
16768,MAJ003.AG
16774,MAJ020.AG
16775,MAJ023.AG
16776,PIE003.AG
16780,PIE008.AG
16789,PIE019.AG
16794,PIE028.AG
16801,PIE037.AG
16809,PIE050.AG
16810,PIE053.AG
16811,PIE054.AG
16812,PIE057.AG
16813,PIE058.AG
16817,PIE063.AG
16821,PIE071631.AG
16822,PIE074.AG
16824,PIE076.AG
16825,PIE077.AG
16832,UBK006.AG
16834,USV005.AG
16840,VAR009.AG
16842,VAR011.AG
16844,VAR016.AG
16846,VAR018.AG
16849,VAR021.AG
16854,VAR030.AG
16855,VAR032.AG
16858,YUN001.AG
16859,YUN003_049.AG
16860,YUN005.AG
16861,YUN006_031.AG
16862,YUN007.AG
16863,YUN009.AG
16864,YUN012.AG
16865,YUN013.AG
16868,YUN019.AG
16869,YUN021.AG
16870,YUN025.AG
16871,YUN026.AG
16872,YUN027_I0781.AG
